city,lat,lng,restaurants
agra,27.185896,78.009208,920
ahmedabad,23.03546,72.57049,4964
ajmer,26.4578,74.66265,325
alappuzha,9.36628,76.43222,221
allahabad,25.4687,81.8005,787
amritsar,31.67053,74.84577,717
aurangabad,19.88771,75.29449,751
bangalore,12.96573,77.61096,15872
bhopal,23.22991,77.38497,1403
bhubaneswar,20.3837,85.3724,1380
chandigarh,30.73036,76.77587,3144
chennai,13.03301,80.22667,9806
coimbatore,11.01892,76.97162,2260
cuttack,20.45115,85.11405,251
darjeeling,27.04542,88.27015,111
dehradun,30.38851,77.99709,1107
dharamshala,32.22174,76.32977,176
gangtok,27.31771,88.60275,119
goa,15.515218,73.829704,2878
gorakhpur,26.81785,83.2949,704
guntur,16.30148,80.44002,339
guwahati,26.16202,91.76151,1118
gwalior,26.23403,78.1624,383
haridwar,30.00857,77.92415,545
hyderabad,17.42463,78.44574,9871
indore,22.71035,75.87632,2127
jabalpur,23.17484,79.94055,421
jaipur,26.93328,75.77623,3757
jalandhar,31.36371,75.57354,363
jammu,32.72792,74.84649,513
jamshedpur,22.803,86.18398,279
jhansi,25.41944,78.57372,177
jodhpur,26.24415,73.00734,848
kanpur,26.50243,80.30072,870
kochi,9.96939,76.25947,2260
kolhapur,16.66934,74.10553,625
kolkata,22.54055,88.36775,7457
kota,24.94025,76.12289,755
lucknow,26.83569,80.99376,2498
ludhiana,30.82496,75.87896,1484
madurai,9.91837,78.1171,580
manali,32.24958,77.17719,227
mangalore,12.98097,74.91578,610
manipal,13.37922,74.77002,534
meerut,28.94407,77.7296,378
mumbai,19.05531,72.85983,21812
mussoorie,30.45545,78.07437,149
mysore,12.30853,76.63562,774
nagpur,21.15984,79.11465,2340
nainital,29.39258,79.51826,282
nashik,20.0001,73.81794,770
ncr,28.654592,77.190848,28369
neemrana,28.05829,76.3919,21
ooty,11.40843,76.69796,218
palakkad,10.77099,76.64157,119
patiala,30.28069,76.23174,501
patna,25.59944,85.12759,780
puducherry,11.93636,79.8237,595
pune,18.53845,73.8579,11627
pushkar,26.48619,74.55511,114
raipur,21.249388,81.638981,958
rajkot,22.23938,70.84713,290
ranchi,23.36523,85.34837,705
rishikesh,30.10497,78.30189,166
salem,11.64961,78.12458,206
shimla,31.17767,77.29483,142
siliguri,26.70263,88.39689,573
srinagar,34.079961,74.799182,112
surat,21.18449,72.85611,1364
thrissur,10.52512,76.1906,326
trichy,10.8336,78.70485,402
trivandrum,8.49019,76.94792,1108
udaipur,24.593764,73.704308,841
udupi,13.35371,74.79173,185
vadodara,22.31912,73.17546,1710
varanasi,25.36906,82.93898,579
vellore,12.90439,79.13795,377
vijayawada,16.49848,80.6457,626
visakhapatnam,17.81034,83.27042,980
